source_layer,year,month,lon,lat,offshore_km,zone,水质类别,pH值,溶解氧_mg_L,化学需氧量_mg_L,无机氮_mg_L,活性磷酸盐_mg_L,石油类_mg_L,Site,City_CN,Province_CN,Sea_CN
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.1400000000001,39.740000000000066,30.84122565659048,过渡,一类,8.16,10.85,0.87,0.074,0.004,0.019,B21YQ507,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.47000000000003,39.939999999000065,71.4636585206673,远海,一类,8.18,9.79,0.6,0.075,0.002,0.01,B21JQ031,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.49000000000001,39.67000000000007,57.570383010714934,远海,一类,8.16,8.23,0.72,0.068,0.002,0.009,B21YQ007,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.82000000000005,40.04000000000008,108.98368685267553,远海,一类,8.22,7.95,0.95,0.094,0.004,0.013,B21YQ008,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.33000000000004,39.61999999900007,38.97665066476987,过渡,一类,8.17,8.84,0.68,0.076,0.003,0.007,B21YQ036,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.42999999900007,39.78000000000003,56.957170658354606,远海,一类,8.22,7.37,0.75,0.077,0.003,0.006,B21YQ037,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.66000000000008,39.97000000000003,89.93740323136781,远海,一类,8.2,8.72,0.72,0.078,0.001,0.016,B21YQ504,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.28000000000009,39.86000000000007,50.6237888744138,远海,一类,8.22,9.98,0.56,0.077,0.007,0.013,B21YQ506,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.67000000100006,40.09000000100008,99.09509085242863,远海,一类,8.19,9.38,0.6,0.075,0.001,0.008,B21YQ518,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.7600000010001,40.06000000000006,104.7877627336823,远海,一类,8.24,8.54,0.8,0.087,0.004,0.007,B21ZQ061,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.25000000000011,39.47999999900003,27.83865838170953,过渡,一类,8.19,8.32,0.8,0.078,0.004,0.011,B21YQ006,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.32000000000005,39.399999999000045,37.21398127672561,过渡,一类,8.14,9.02,0.62,0.024,0.003,0.014,B21YQ035,大连,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,122.09000000000003,40.26000000000005,147.49640571892505,远海,劣四类,8.25,9.04,0.89,0.527,0.005,0.022,B21YQ009,营口,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.92000000000007,40.35000000000008,139.0338696145774,远海,四类,8.23,8.9,0.67,0.493,0.002,0.026,B21YQ502,营口,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.93000000000006,40.160000000000025,126.58380820627046,远海,三类,8.23,8.1,0.63,0.304,0.001,0.023,B21YQ503,营口,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,122.16000000100007,40.440000001000044,165.72861325598322,远海,劣四类,8.22,8.09,1.1,0.682,0.006,0.032,B21ZQ063,营口,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,122.0200000000001,40.55000000000007,162.48898701144077,远海,劣四类,8.21,8.0,0.99,0.67,0.017,0.024,B21ZQ010,营口,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,122.22000000000003,40.52000000000004,176.51443227113694,远海,劣四类,8.21,7.98,1.24,0.858,0.032,0.029,B21ZQ065,营口,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,122.03000000000009,40.650000000000034,171.36473207752863,远海,劣四类,8.13,7.53,0.94,0.877,0.037,0.026,B21ZQ013,盘锦,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.87000000000012,40.61000000000007,156.54542152360912,远海,劣四类,8.18,7.86,1.76,0.537,0.04,0.02,B21ZQ070,盘锦,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.96000000000004,40.67000000100006,167.99181685080316,远海,劣四类,8.15,7.98,0.83,0.565,0.025,0.012,B21ZQ015,盘锦,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.68000000000006,40.57000000000005,140.72506279978128,远海,二类,8.02,8.35,1.21,0.264,0.011,0.02,B21ZQ071,盘锦,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.72000000100002,40.77000000000004,162.0485955438792,远海,劣四类,8.17,8.13,1.51,0.78,0.037,0.018,B21ZQ017,盘锦,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.42999999900007,40.63000000100004,134.20446273224803,远海,一类,8.05,9.06,1.1,0.059,0.003,0.017,B21ZQ072,锦州,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.30000000000007,40.80000000000007,142.14935807102015,远海,一类,8.16,8.42,0.41,0.058,0.007,0.027,B21YQ019,锦州,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.5100000000001,40.78000000000003,152.94253332543647,远海,一类,8.18,8.06,0.74,0.085,0.014,0.039,B21YQ501,锦州,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.09000000000003,40.80000000000007,128.87955656349155,远海,一类,8.16,7.7,1.0,0.08,0.009,0.033,B21ZQ020,锦州,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.0199999990001,40.74999999900007,120.21356355993804,远海,二类,8.11,7.91,1.1,0.231,0.01,0.026,B21ZQ022,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.06999999900006,40.730000000000075,121.07652863357411,远海,一类,8.18,7.93,0.78,0.079,0.007,0.037,B21ZQ025,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.09000000000003,40.58000000000004,108.55890797166903,远海,一类,8.16,8.34,1.23,0.153,0.01,0.023,B21JQ033,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.65000000000009,40.17000000000007,44.31667180645479,过渡,一类,8.12,9.86,0.66,0.09,0.003,0.02,B21JQ004,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.19000000000005,39.910000000000025,23.336413606212073,过渡,一类,8.12,9.41,0.95,0.043,0.003,0.021,B21YQ505,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.44000000000005,40.000000001000046,23.177480556103617,过渡,一类,8.11,9.6,0.86,0.03,0.002,0.019,B21YQ520,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.93000000000006,40.01000000000005,7.848885271164431,近岸,二类,8.03,8.54,0.95,0.201,0.007,0.018,B21YQ028,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.28000000000009,40.13000000000005,34.26647486977269,过渡,二类,8.0,8.22,0.68,0.206,0.008,0.017,B21ZQ075,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.11000000000001,40.07000000000005,14.472629339554139,近岸,一类,8.01,8.28,0.79,0.138,0.01,0.018,B21YQ519,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.80000000000007,40.28000000000003,62.83031433950404,远海,一类,8.09,9.51,0.5,0.175,0.01,0.014,B21YQ517,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.90000000100008,40.47000000000003,86.6155696734605,远海,一类,8.1,9.56,0.85,0.116,0.008,0.024,B21JQ002,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.53000000000009,40.30000000000007,55.599810251483234,远海,一类,8.02,8.63,0.98,0.13,0.01,0.028,B21YQ027,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.87000000000012,40.58000000000004,95.82714281455918,远海,一类,8.11,8.49,0.94,0.07,0.009,0.019,B21ZQ073,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.70000000000005,40.400000000000034,70.20256405574351,远海,一类,8.05,8.27,0.81,0.134,0.008,0.025,B21ZQ074,葫芦岛,辽宁,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.79000000000008,39.939999999000065,24.242765961787935,过渡,一类,8.06,9.0,1.01,0.033,0.007,0.017,B13YQ508,秦皇岛,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.85000000000002,39.939999999000065,17.932598848977236,近岸,一类,8.09,9.25,1.05,0.036,0.005,0.016,B13YQ507,秦皇岛,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.34000000100002,39.50000000000006,67.11600113518205,远海,一类,8.14,9.92,0.98,0.054,0.006,0.017,B13ZQ035,秦皇岛,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.5200000000001,39.79000000000008,45.564114168930075,过渡,一类,8.02,9.24,1.02,0.071,0.008,0.017,B13ZQ034,秦皇岛,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.58000000000004,39.90000000100008,34.463667718438025,过渡,四类,8.5,9.0,1.21,0.41,0.041,0.023,B13ZQ032,秦皇岛,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.53000000000009,39.75000000000006,50.06087693997644,远海,一类,8.01,8.99,1.14,0.038,0.005,0.018,B13YQ405,秦皇岛,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.42000000000007,39.700000000000045,56.20591072119846,远海,一类,8.12,8.2,1.51,0.053,0.002,0.015,B13YQ020,秦皇岛,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.66000000000008,39.88000000000005,39.71256728039541,过渡,一类,8.13,9.45,0.96,0.056,0.011,0.016,B13YQ509,秦皇岛,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.08000000000004,39.150000000000034,18.87000000000548,近岸,二类,8.02,6.59,2.07,0.181,0.012,0.002,B12ZQ503,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.35000000000002,39.00000000000006,38.850000000002524,过渡,一类,8.13,9.51,1.01,0.175,0.002,0.027,B13ZQ077,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.63000000000011,39.11000000000007,45.63166663622612,过渡,一类,8.04,9.12,1.14,0.098,0.003,0.024,B13ZQ076,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.15000000000009,38.930000000000064,18.373769346550162,近岸,二类,8.0,9.63,1.31,0.229,0.003,0.016,B13YQ503,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.74000000000001,39.00000000000006,61.562485329942234,远海,一类,8.02,9.38,1.2,0.049,0.002,0.021,B13YQ502,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.20000000000005,39.33000000000004,77.61273671247231,远海,一类,8.01,9.15,1.14,0.033,0.002,0.026,B13YQ505,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.8800000010001,39.10000000000008,61.241427231606046,远海,一类,8.06,8.74,1.42,0.078,0.002,0.029,B13YQ037,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.03000000000009,39.210000000000036,67.06090515345635,远海,一类,8.01,8.75,1.19,0.164,0.005,0.024,B13YQ036,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.25000000000011,38.81000000000006,34.85470699920491,过渡,一类,8.13,8.93,1.07,0.171,0.006,0.014,B13JQ504,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.50000000000011,38.83000000100003,58.62019187798803,远海,一类,8.15,9.2,0.97,0.083,0.004,0.013,B00JQ015,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.2600000000001,39.13000000000005,93.82619303798636,远海,一类,8.15,9.69,0.63,0.042,0.004,0.007,B13JQ010,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.99999999900001,39.00000000000006,78.4888526332143,远海,一类,8.13,9.59,0.88,0.042,0.003,0.001,B00JQ011,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.47000000000003,39.33000000000004,90.84385394730697,远海,一类,8.21,9.5,0.96,0.067,0.006,0.014,B00JQ008,唐山,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.12000000100011,38.660000000000025,39.712567379689894,过渡,三类,8.1,7.92,1.42,0.303,0.009,0.017,B12ZQ078,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.67000000000007,38.64000000100003,21.20652030507953,过渡,二类,8.16,6.89,2.08,0.075,0.001,0.006,B12ZQ501,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.7799999990001,38.67000000000007,19.0001394861484,近岸,二类,8.15,8.06,2.04,0.109,0.001,0.009,B12ZQ502,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.97000000000003,39.07999999900005,9.483844053374211,近岸,二类,8.02,6.73,1.56,0.203,0.016,0.009,B12ZQ038,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.87000000000012,38.97999999900003,14.599770563007045,近岸,二类,7.95,6.4,1.56,0.277,0.021,0.011,B12ZQ039,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.00000000000011,38.88000000000005,13.319999999994195,近岸,四类,8.17,6.78,2.92,0.459,0.001,0.028,B12ZQ041,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.7700000000001,38.75000000000006,27.949085852676426,过渡,四类,8.21,8.19,1.88,0.141,0.001,0.327,B12ZQ042,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.97000000000003,38.660000000000025,25.913210916446168,过渡,二类,8.16,7.13,1.83,0.294,0.0,0.006,B12ZQ043,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.90000000000009,38.87000000000006,18.20535360819941,近岸,三类,8.14,8.58,2.8,0.379,0.002,0.03,B12ZQ040,天津,天津,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.82999999900005,38.62000000000006,13.72994170639343,近岸,三类,8.16,9.17,2.04,0.323,0.001,0.02,B12ZQ044,沧州,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.879999999,38.480000000000075,9.153294381184324,近岸,二类,8.02,9.3,1.23,0.271,0.005,0.019,B13ZQ047,沧州,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.80000000000007,38.47000000000003,3.3299999999969714,近岸,二类,8.17,9.38,1.25,0.255,0.016,0.02,B13ZQ046,沧州,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.00000000000011,38.480000000000075,22.31072387890042,过渡,二类,8.1,5.98,1.45,0.298,0.008,0.025,B13YQ506,沧州,河北,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.17000000100006,38.450000000000045,41.44330354976636,过渡,二类,8.08,8.14,1.24,0.277,0.01,0.024,B13JQ501,滨州,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.97000000000003,38.29000000000008,29.990548511151413,过渡,一类,8.19,9.14,1.26,0.185,0.004,0.021,B13ZQ079,滨州,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.17000000100006,38.230000000000075,31.74677628027491,过渡,三类,7.97,9.45,1.47,0.369,0.004,0.004,B37YQ517,滨州,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,117.94000000000005,38.33000000000004,24.44521425555576,过渡,四类,8.25,9.96,1.49,0.452,0.004,0.005,B37ZQ048,滨州,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.28000000100008,38.03000000000003,31.2578839159068,过渡,一类,8.19,9.74,1.12,0.136,0.004,0.036,B37YQ509,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.10000000000002,38.22000000000003,26.824362061383752,过渡,二类,8.07,8.46,0.88,0.204,0.009,0.003,B37YQ512,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.57000000100004,38.34000000000003,38.53155202850353,过渡,二类,8.05,8.3,0.95,0.299,0.018,0.007,B37JQ020,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.71000000000004,38.30000000000007,40.64783020040175,过渡,二类,8.05,7.82,0.98,0.244,0.016,0.008,B37JQ023,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.30000000000007,38.36000000000007,45.71259782598545,过渡,三类,8.06,8.05,0.85,0.306,0.014,0.019,B37JQ508,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.12000000000012,38.04000000000008,14.040512811162767,近岸,三类,8.14,9.75,0.76,0.386,0.003,0.013,B00JQ026,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.3900000000001,37.81999999900006,37.5600118758603,过渡,四类,8.09,9.43,0.78,0.492,0.005,0.018,B37YQ510,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.21000000000004,37.86999999900007,27.414977716631793,过渡,四类,8.12,9.62,1.09,0.482,0.004,0.012,B37YQ504,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.38000000000011,37.62000000000006,18.83732465080588,近岸,四类,8.15,9.31,0.72,0.484,0.003,0.014,B37JQ034,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.20000000000005,37.460000000000036,33.59469600993032,过渡,四类,8.09,9.38,0.64,0.482,0.005,0.017,B37JQ503,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.08000000000004,37.42000000000007,47.458179484672954,过渡,劣四类,8.04,9.24,1.0,0.674,0.003,0.015,B37YQ032,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.47000000000003,37.62000000000006,13.729941733312685,近岸,三类,8.1,9.03,0.74,0.395,0.003,0.017,B37YQ506,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.10000000000002,37.57000000000005,45.074747919426706,过渡,四类,8.11,9.4,0.76,0.455,0.003,0.018,B37ZQ049,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.92000000100006,38.240000000000066,28.08102558719869,过渡,三类,8.1,9.47,0.74,0.341,0.006,0.03,B37JQ024,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.42000000000007,38.190000001000044,22.883236324480908,过渡,四类,8.03,9.7,0.68,0.446,0.004,0.032,B37YQ518,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.63000000000011,38.190000001000044,25.554119133371348,过渡,四类,8.07,9.44,0.9,0.434,0.004,0.029,B37ZQ080,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,118.90000000000009,38.150000000000034,20.01080957882269,过渡,三类,8.02,9.58,0.74,0.379,0.005,0.019,B37ZQ081,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.03999999900009,37.950000000000045,7.107467834211464,近岸,三类,8.14,9.41,1.14,0.37,0.002,0.018,B37ZQ082,东营,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.47000000000003,37.409999999000036,10.530384713659844,近岸,四类,8.1,8.24,0.74,0.405,0.002,0.018,B37JQ028,潍坊,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.10000000000002,37.32999999900005,48.24351670627568,过渡,劣四类,8.05,9.39,1.16,0.726,0.003,0.016,B37ZQ050,潍坊,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.30000000000007,37.26000000000005,34.67750856101663,过渡,三类,8.12,9.36,0.93,0.348,0.002,0.015,B37ZQ051,潍坊,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.49000000000001,37.190000000000055,34.42789857077514,过渡,四类,8.09,9.14,1.04,0.425,0.002,0.015,B37ZQ052,潍坊,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.90000000100008,38.05000000000007,62.05088635576873,远海,一类,8.17,10.11,0.78,0.032,0.007,0.017,H37JQ501,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.13000000000011,37.84000000100008,79.46390695391605,远海,一类,8.19,9.15,0.94,0.046,0.002,0.027,B37YQ502,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.32000000000005,37.930000000000064,89.3050015396665,远海,一类,8.14,9.93,0.68,0.047,0.003,0.014,B37JQ509,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.06000000000006,37.700000001000035,66.00534527543499,远海,四类,8.13,8.91,1.15,0.401,0.002,0.023,B37JQ510,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,121.0299999990001,38.25000000000006,59.091212642667664,远海,一类,8.18,10.46,0.77,0.053,0.008,0.015,H00WQ508,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.57000000000005,37.51000000000005,7.848885271176924,近岸,三类,8.11,9.24,1.07,0.344,0.002,0.017,B37JQ511,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.84000000000003,37.58000000000004,38.7706332163965,过渡,四类,8.07,9.17,0.82,0.42,0.002,0.013,B37YQ507,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.74000000100011,37.450000000000045,27.211984600809394,过渡,三类,8.13,8.91,0.82,0.346,0.002,0.015,B37YQ514,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.61999999900002,37.80000000000007,53.740509947006665,远海,三类,8.1,8.59,0.62,0.315,0.003,0.018,B37YQ516,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.37000000000012,37.76999999900005,76.0815732838455,远海,三类,8.04,8.89,1.11,0.352,0.002,0.032,B37YQ505,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.5000000010001,37.900000000000034,71.0746789488216,远海,一类,8.13,9.22,0.49,0.135,0.003,0.014,B37ZQ084,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.7700000000001,37.83000000000004,44.64905150168133,过渡,二类,8.13,8.73,0.86,0.285,0.023,0.02,H37YQ023,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,120.09000000100002,37.58000000000004,65.1504758403069,远海,三类,8.04,8.52,1.17,0.388,0.001,0.031,B37YQ026,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.64000000100009,37.210000000000036,35.74475770585008,过渡,四类,8.1,8.36,0.96,0.492,0.002,0.016,B37YQ515,烟台,山东,渤海
T2018_Bohai_Sea_Water_Quality_Data_May,2018,5,119.67000000000007,37.32999999900005,26.686210000470826,过渡,四类,8.11,8.59,0.8,0.453,0.002,0.019,B37ZQ053,烟台,山东,渤海
